Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Publisher,Language of Original Document,Document Type,Publication Stage,Open Access,Source,,,,,,,,,,,
Witoszek-Kubicka A.,"Witoszek-Kubicka, Aleksandra (57218579927)",57218579927,"Implementation of gamification in Polish companies-stages, elements, ethics",2020,Information (Switzerland),11,8,371,,,,3,10.3390/INFO11080371,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089694949&doi=10.3390%2fINFO11080371&partnerID=40&md5=85087efc30f18b39d8b629477cf29817,"Business gamification has been gaining in popularity in Poland in recent years and is indeed appearing in companies, especially large ones. However, the implementation of game-based solutions is still not sufficiently described. The technology allows the use of solutions such as AI or Machine Learning, but gamification is not only an IT project. The aim of the article is to determine the stages of implementation of business gamification according to various models, describe the existing differences and confront the results with business practice in Poland. To this end, a scoping review on the subject was carried out in terms of the existing methodologies for the implementation of gamification solutions. In the next stage, a scenario was created to conduct individual in-depth interviews (IDI) with companies implementing gamification projects in business. As a result of the research, the practice of implementing business gamification in Poland was described against the background of the methodologies proposed in the literature. This has led to the identification of several significant differences in implementation stages both between theory and practice and among the implementations proposed by the companies participating in the interviews. An attempt was made to explain these differences by taking the type of IT solution as a criterion. © 2020 by the author.",Business gamification; Gamification implementation; Implementation stages,Business practices; Game-Based; In-depth interviews; IT project; IT solution; Scoping review; Theory and practice; Gamification,MDPI AG,English,Article,Final,All Open Access; Gold Open Access,Scopus,,,,,,,,,,,
Scott A.T.; Narins L.D.; Kulkarni A.; Castanon M.; Kao B.; Ihorn S.; Siu Y.-T.; Yoon I.,"Scott, Andrew Taylor (57223400207); Narins, Lothar D. (58237656600); Kulkarni, Anagha (7401950215); Castanon, Mar (58237736700); Kao, Benjamin (58237489900); Ihorn, Shasta (55184049100); Siu, Yue-Ting (56364106100); Yoon, Ilmi (7004877969)",57223400207; 58237656600; 7401950215; 58237736700; 58237489900; 55184049100; 56364106100; 7004877969,"Improved Image Caption Rating - Datasets, Game, and Model",2023,Conference on Human Factors in Computing Systems - Proceedings,,,172,,,,0,10.1145/3544549.3585632,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158171411&doi=10.1145%2f3544549.3585632&partnerID=40&md5=0d640a041d6149b53a65a325de504d64,"How well a caption fits an image can be difficult to assess due to the subjective nature of caption quality. What is a good caption? We investigate this problem by focusing on image-caption ratings and by generating high quality datasets from human feedback with gamification. We validate the datasets by showing a higher level of inter-rater agreement, and by using them to train custom machine learning models to predict new ratings. Our approach outperforms previous metrics - the resulting datasets are more easily learned and are of higher quality than other currently available datasets for image-caption rating. © 2023 Owner/Author.",human-in-the-loop; image captioning; multimodal learning; visually-impaired,Learning systems; Gamification; High quality; Human-in-the-loop; Image caption; Image captioning; Inter-rater agreements; Machine learning models; Multi-modal learning; Visually impaired; Image enhancement,Association for Computing Machinery,English,Conference paper,Final,,Scopus,YES,,"penerapan gamifikasi pada pengumpulan data, bukan pada penerapan ML",,,,,,,,
Jeong H.; Payton J.; Julien C.; Castelli D.,"Jeong, Hyun (58061010800); Payton, Jamie (22433803500); Julien, Christine (23397494900); Castelli, Darla (15758857000)",58061010800; 22433803500; 23397494900; 15758857000,Integrating Computer Science and Physical Education in Elementary Schools with Data Science Learning Modules Using Wearable Microcontrollers,2022,"Proceedings - 2022 IEEE 19th International Conference on Mobile Ad Hoc and Smart Systems, MASS 2022",,,,710,715,5,0,10.1109/MASS56207.2022.00105,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146119488&doi=10.1109%2fMASS56207.2022.00105&partnerID=40&md5=02f950edcb4510e81af9053e92c8f780,"With limited time in the school day to meet required state-level objectives across subjects, it is challenging to meet the need to address declining physical activity levels and to incorporate additional computer science instruction in elementary schools. Project moveSMART uses a web-based platform to integrate opportunities for physical education with computer science and computational thinking (CS/CT) learning activities. Fourth grade students who underwent a single-day intervention experienced a significant improvement in their interest in coding and their perceptions of coders. This paper presents a series of three new lessons in the fifth grade moveSMART curriculum that allow students to create and improve a physical activity monitor. We employ a project-based learning approach to expose students to data analysis and machine learning in the framework of classification and pattern recognition. © 2022 IEEE.",BBC micro; bit; elementary school; gamification; integrative curriculum; pervasive computing; physical activity,Curricula; Education computing; Engineering education; Pattern recognition; Ubiquitous computing; Wearable computers; BBC micro; Computer Science Education; Elementary schools; Gamification; Integrative curriculum; Learning modules; Physical activity; Physical activity levels; Physical education; Science learning; Students,Institute of Electrical and Electronics Engineers Inc.,English,Conference paper,Final,,Scopus,YES,,penerapan dalam membantu pelajar memahami proses ML sebagai salah satu computational thinking. bukan sebagai penerapan ML pada gamifikasi,,,,,,,,
Fisher-Gewirtzman D.; Polak N.,"Fisher-Gewirtzman, Dafna (6507848525); Polak, Nir (57219283159)",6507848525; 57219283159,Integrating Crowdsourcing & Gamification in an Automatic Architectural Synthesis Process,2018,Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe,1,,,439,444,5,2,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124759647&partnerID=40&md5=8a472536ec82a94a320b0db3a08a1b4b,"This work covers the methodological approach that is used to gather information from the wisdom of crowd, to be utilized in a machine learning process for the automatic generation of minimal apartment units. The flexibility in the synthesis process enables the generation of apartment units that seem to be random and some are unsuitable for dwelling. Thus, the synthesis process is required to classify units based on their suitability. The classification is deduced from opinions of human participants on previously generated units. As the definition of ``suitability'' may be subjective, this work offers a crowdsourcing method in order to reach a large number of participants, that as a whole would allow to produce an objective classification. Gaming elements have been adopted to make the crowdsourcing process more intuitive and inviting for external participants. © 2018, Education and research in Computer Aided Architectural Design in Europe. All rights reserved.",Automated architecture synthesis; Crowdsourcing and gamification; Minimum apartments; Optimization; Urban density; Visual openness,,Education and research in Computer Aided Architectural Design in Europe,English,Conference paper,Final,,Scopus,,,,,,,,,,,
Wangi N.B.S.; Setyosari P.; Kuswandi D.; Dwiyogo W.D.,"Wangi, Nisaul Barokati Seliro (57215914065); Setyosari, Punaji (57191276640); Kuswandi, Dedi (57194130351); Dwiyogo, Wasis Djoko (57202829847)",57215914065; 57191276640; 57194130351; 57202829847,Integrating gamification in a blended learning entrepreneurship course: Discussing student learning and achievement motivation,2021,International Journal of Innovation and Learning,30,1,,91,113,22,0,10.1504/IJIL.2021.116574,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111603316&doi=10.1504%2fIJIL.2021.116574&partnerID=40&md5=2e0f5452a345be9ef3f754926d3c5ccf,"This study examines the acquisition of student learning outcomes using gamification. There are three main features of this experimental research. First, there is an independent variable that is manipulated. Second, control over all other variables. Third, there is observation and measurement of the dependent variable due to manipulation of the independent variable: 1) there is a significant difference in understanding of entrepreneurship subject matter between groups of students who use learning strategies; 2) there is a significant difference in understanding entrepreneurship subject matter between groups of motivated students; 3) there is an interaction effect between gamification learning strategies and project-based learning strategies with high and low achievement motivation on understanding entrepreneurship subject matter. This study is one of the few studies that develops a gamification strategy, especially in the entrepreneurship course for fifth semester students of the Indonesian Language and Literature Education Study Program, FKIP Unisda, Lamongan.  Copyright © 2021 Inderscience Enterprises Ltd.",Blended learning; Entrepreneurship; Integrating gamification; Learning motivation,Indonesia; education; entrepreneur; experimental study; integrated approach; machine learning; strategic approach; student,Inderscience Publishers,English,Article,Final,,Scopus,,,,,,,,,,,
Holzinger A.; Plass M.; Kickmeier-Rust M.; Holzinger K.; Crişan G.C.; Pintea C.-M.; Palade V.,"Holzinger, Andreas (23396282000); Plass, Markus (57190968111); Kickmeier-Rust, Michael (23397084000); Holzinger, Katharina (36809544300); Crişan, Gloria Cerasela (17433683300); Pintea, Camelia-M. (19639099900); Palade, Vasile (6701857025)",23396282000; 57190968111; 23397084000; 36809544300; 17433683300; 19639099900; 6701857025,Interactive machine learning: experimental evidence for the human in the algorithmic loop: A case study on Ant Colony Optimization,2019,Applied Intelligence,49,7,,2401,2414,13,123,10.1007/s10489-018-1361-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058181645&doi=10.1007%2fs10489-018-1361-5&partnerID=40&md5=6d32c24d955c1210422dfec3733f6b83,"Recent advances in automatic machine learning (aML) allow solving problems without any human intervention. However, sometimes a human-in-the-loop can be beneficial in solving computationally hard problems. In this paper we provide new experimental insights on how we can improve computational intelligence by complementing it with human intelligence in an interactive machine learning approach (iML). For this purpose, we used the Ant Colony Optimization (ACO) framework, because this fosters multi-agent approaches with human agents in the loop. We propose unification between the human intelligence and interaction skills and the computational power of an artificial system. The ACO framework is used on a case study solving the Traveling Salesman Problem, because of its many practical implications, e.g. in the medical domain. We used ACO due to the fact that it is one of the best algorithms used in many applied intelligence problems. For the evaluation we used gamification, i.e. we implemented a snake-like game called Traveling Snakesman with the MAX–MIN Ant System (MMAS) in the background. We extended the MMAS–Algorithm in a way, that the human can directly interact and influence the ants. This is done by “traveling” with the snake across the graph. Each time the human travels over an ant, the current pheromone value of the edge is multiplied by 5. This manipulation has an impact on the ant’s behavior (the probability that this edge is taken by the ant increases). The results show that the humans performing one tour through the graphs have a significant impact on the shortest path found by the MMAS. Consequently, our experiment demonstrates that in our case human intelligence can positively influence machine intelligence. To the best of our knowledge this is the first study of this kind. © 2018, The Author(s).",Ant Colony Optimization; Combinatorial optimization; Human-in-the-loop; Interactive machine learning,Combinatorial optimization; Graph theory; Learning systems; Multi agent systems; Problem solving; Traveling salesman problem; Ant Colony Optimization (ACO); Computational power; Experimental evidence; Human intervention; Human-in-the-loop; Interactive machine learning; Machine intelligence; Multi-agent approach; Ant colony optimization,Springer New York LLC,English,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,,,,,,,,,,,
Shingjergji K.; Iren D.; Bottger F.; Urlings C.; Klemke R.,"Shingjergji, Krist (57264237100); Iren, Deniz (55762268100); Bottger, Felix (57889523900); Urlings, Corrie (57211854329); Klemke, Roland (16230731700)",57264237100; 55762268100; 57889523900; 57211854329; 16230731700,Interpretable Explainability in Facial Emotion Recognition and Gamification for Data Collection,2022,"2022 10th International Conference on Affective Computing and Intelligent Interaction, ACII 2022",,,,,,,1,10.1109/ACII55700.2022.9953864,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143759945&doi=10.1109%2fACII55700.2022.9953864&partnerID=40&md5=5c7a961d7dc13073c9c39ba88384878d,"Training facial emotion recognition models requires large sets of data and costly annotation processes. To alleviate this problem, we developed a gamified method of acquiring annotated facial emotion data without an explicit labeling effort by humans. The game, which we named Facegame, challenges the players to imitate a displayed image of a face that portrays a particular basic emotion. Every round played by the player creates new data that consists of a set of facial features and landmarks, already annotated with the emotion label of the target facial expression. Such an approach effectively creates a robust, sustainable, and continuous machine learning training process. We evaluated Facegame with an experiment that revealed several contributions to the field of affective computing. First, the gamified data collection approach allowed us to access a rich variation of facial expressions of each basic emotion due to the natural variations in the players' facial expressions and their expressive abilities. We report improved accuracy when the collected data were used to enrich well-known in-the-wild facial emotion datasets and consecutively used for training facial emotion recognition models. Second, the natural language prescription method used by the Facegame constitutes a novel approach for interpretable explainability that can be applied to any facial emotion recog-nition model. Finally, we observed significant improvements in the facial emotion perception and expression skills of the players through repeated game play.  © 2022 IEEE.",Affective computing; explainable AI; facial emotion recognition; gamification; interpretable machine learning,Behavioral research; Data acquisition; Face recognition; Machine learning; Speech recognition; Affective Computing; Data collection; Emotion recognition; Explainable AI; Facial emotion recognition; Facial emotions; Facial Expressions; Gamification; Interpretable machine learning; Machine-learning; Emotion Recognition,Institute of Electrical and Electronics Engineers Inc.,English,Conference paper,Final,All Open Access; Green Open Access,Scopus,,,,,,,,,,,
Kanaki K.; Kalogiannakis M.; Poulakis E.; Politis P.,"Kanaki, Kalliopi (57202264536); Kalogiannakis, Michail (8533759300); Poulakis, Emmanouil (57194638749); Politis, Panagiotis (56436192600)",57202264536; 8533759300; 57194638749; 56436192600,Investigating the Association between Algorithmic Thinking and Performance in Environmental Study,2022,Sustainability (Switzerland),14,17,10672,,,,0,10.3390/su141710672,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137912246&doi=10.3390%2fsu141710672&partnerID=40&md5=566c19964363520410168d973dba2e63,"Presently, computational thinking (CT) is considered necessary for adapting to the future. Concurrently, the COVID-19 pandemic has accentuated the demand for strengthening Environmental Education as a means to improve sustainability and stimulate environmental protection and public health. Having in mind that CT does not concern only technocrats but also applies in solving everyday problems, we introduce the novel idea of the synergistic learning of CT and Environmental Study. Thus, our research aim is to explore the correlation between algorithmic thinking (AT), as a fundamental CT competency, and educational achievements in the Environmental Study course during the early primary school years. Towards this end, we implemented a quantitative research study, employing an innovative assessment framework we propose. The adoption of cluster sampling eventuated in a sample of 435 students. The exploitation of ordinal logistic regression analysis and machine learning method validated the correlation of the two fields and pointed out that AT levels constitute a predictive factor for performance in the Environmental Study course and vice versa. These results support the novel idea of concurrently cultivating environmental consciousness and CT and build a robust base for future studies that will focus on providing an ecological reflection on CT activities. © 2022 by the authors.",computational thinking; educational apps; educational methodologies; gamification; STEM; teaching programming,COVID-19; environmental education; machine learning; primary education; regression analysis,MDPI,English,Article,Final,All Open Access; Gold Open Access,Scopus,,,,,,,,,,,
Piazzalunga C.; Dui L.G.; Termine C.; Bortolozzo M.; Matteucci M.; Ferrante S.,"Piazzalunga, Chiara (57364813100); Dui, Linda Greta (57201942926); Termine, Cristiano (55941156800); Bortolozzo, Marisa (57364813200); Matteucci, Matteo (7005216953); Ferrante, Simona (23003986400)",57364813100; 57201942926; 55941156800; 57364813200; 7005216953; 23003986400,Investigating Visual Perception Impairments through Serious Games and Eye Tracking to Anticipate Handwriting Difficulties,2023,Sensors,23,4,1765,,,,0,10.3390/s23041765,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148975470&doi=10.3390%2fs23041765&partnerID=40&md5=96a37aa11f4164ad5c6deb221fa6fd71,"Dysgraphia is a learning disability that causes handwritten production below expectations. Its diagnosis is delayed until the completion of handwriting development. To allow a preventive training program, abilities not directly related to handwriting should be evaluated, and one of them is visual perception. To investigate the role of visual perception in handwriting skills, we gamified standard clinical visual perception tests to be played while wearing an eye tracker at three difficulty levels. Then, we identified children at risk of dysgraphia through the means of a handwriting speed test. Five machine learning models were constructed to predict if the child was at risk, using the CatBoost algorithm with Nested Cross-Validation, with combinations of game performance, eye-tracking, and drawing data as predictors. A total of 53 children participated in the study. The machine learning models obtained good results, particularly with game performances as predictors (F1 score: 0.77 train, 0.71 test). SHAP explainer was used to identify the most impactful features. The game reached an excellent usability score (89.4 ± 9.6). These results are promising to suggest a new tool for dysgraphia early screening based on visual perception skills. © 2023 by the authors.",dysgraphia; eye tracking; gamification,Agraphia; Algorithms; Child; Eye-Tracking Technology; Handwriting; Humans; Visual Perception; Machine learning; Serious games; Vision; Dysgraphia; Eye trackers; Eye-tracking; Gamification; Learning disabilities; Machine learning models; Performance; Speed test; Training program; Visual perception; agraphia; algorithm; child; handwriting; human; vision; Eye tracking,MDPI,English,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,,,,,,,,,,,
Sandri S.; Hemmje M.; Zheng H.; Engel F.; Moorhead A.; Wang H.; Bond R.; McTear M.; Molinari A.; Bouquet P.,"Sandri, Simone (58336833900); Hemmje, Matthias (55979769600); Zheng, Huiru (8982328500); Engel, Felix (55603373400); Moorhead, Anne (36174297600); Wang, Haiying (57219321466); Bond, Raymond (36019802200); McTear, Mike (6603439632); Molinari, Andrea (7103155634); Bouquet, Paolo (55604989200)",58336833900; 55979769600; 8982328500; 55603373400; 36174297600; 57219321466; 36019802200; 6603439632; 7103155634; 55604989200,Is there an Optimal Technology to Provide Personal Supportive Feedback in Prevention of Obesity,2019,"Proceedings - 2019 IEEE International Conference on Bioinformatics and Biomedicine, BIBM 2019",,,8983405,1,6,5,1,10.1109/BIBM47256.2019.8983405,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084340995&doi=10.1109%2fBIBM47256.2019.8983405&partnerID=40&md5=503e049941926f6c3cfa08cf77cd120e,"Obesity is a global challenge that affects health and wellbeing worldwide. In this position paper, we review the digital technology used in prevention of obesity and present the proposed STOP project that integrates state-of-the-art wearable technology, chatbot, gamification data fusion, and machine learning with the aim to provide personalised supportive feedback for preventing obesity and maintaining healthy weight. Implication of sensitive data with General Data Protection Regulation (GDPR) is discussed. We conclude that machine learning plays an important role in data fusion, analytics, and providing optimal messaging tailored design to support healthy weight. © 2019 IEEE.",chatbot; data fusion; gamification; machine learning; obesity; prevention; supportive personalised feedback,Bioinformatics; Data fusion; Machine learning; Nutrition; Wearable technology; Digital technologies; General data protection regulations; Global challenges; Optimal technology; Position papers; Sensitive datas; State of the art; Wellbeing; Engineering education,Institute of Electrical and Electronics Engineers Inc.,English,Conference paper,Final,All Open Access; Green Open Access,Scopus,,,,,,,,,,,
Sakulkueakulsuk B.; Witoon S.; Ngarmkajornwiwat P.; Pataranutapom P.; Surareungchai W.; Subsoontorn P.,"Sakulkueakulsuk, Bawornsak (57195952021); Witoon, Sivada (57206892166); Ngarmkajornwiwat, Potiwat (57195953197); Pataranutapom, Pornpen (56983058400); Surareungchai, Werasak (6602831678); Subsoontorn, Pakpoom (55241656700)",57195952021; 57206892166; 57195953197; 56983058400; 6602831678; 55241656700,"Kids making AI: Integrating Machine Learning, Gamification, and Social Context in STEM Education",2019,"Proceedings of 2018 IEEE International Conference on Teaching, Assessment, and Learning for Engineering, TALE 2018",,,8615249,1005,1010,5,37,10.1109/TALE.2018.8615249,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062060296&doi=10.1109%2fTALE.2018.8615249&partnerID=40&md5=730bc1f4bc29477f007fdbbe17a11304,"We present an approach in STEM education at the intersection of machine learning, gamification, and social context based in Thailand. We designed an agricultural based AI challenge that fostered students to learn the process of creating machine learning models in the form of a game with the emphasis on the Four P's of Creative Learning (Projects, Passion, Play, and Peers). Our goal is to come up with an innovative education model that encourages the students to connect the emerging technological solutions such as AI with the pressing realworld problems in the playful environment. We found that machine learning can be used as a tool to successfully conduct interdisciplinary education at the middle school level. © 2018 IEEE.",agriculture; AI; machine learning; STEM,"Agriculture; Artificial intelligence; Education computing; Learning systems; Machine learning; Students; Creative-learning; Innovative education; Integrating machines; Interdisciplinary education; Machine learning models; Real-world problem; Social context; Technological solution; STEM (science, technology, engineering and mathematics)",Institute of Electrical and Electronics Engineers Inc.,English,Conference paper,Final,,Scopus,,,,,,,,,,,
Padmanabhan J.; Geetha Bala P.; Rajkumar S.,"Padmanabhan, Jayashree (56779815000); Geetha Bala, P. (57217103209); Rajkumar, S. (57222262596)",56779815000; 57217103209; 57222262596,Learning based approximation algorithm: A case study in learning through gaming,2019,"Proceedings of the 11th International Conference on Advanced Computing, ICoAC 2019",,,9087269,404,408,4,0,10.1109/ICoAC48765.2019.246876,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086277642&doi=10.1109%2fICoAC48765.2019.246876&partnerID=40&md5=d38522919b659c9f8b0a87e4f4fff4a9,"With new learning technologies springing up, gaming also plays a vital role in creating learning experiences. Studies show that games play an active role in defining active and creative learning activities. For effective learning through game based activities, games need to be well defined, interactive and challenging. Gamification can be applied in the context of learning using Atificial Intelligence. It is understood that game development is one of the use cases for AI. An attempt had been made to gamify learning using a supervised learning based approximation technique. The case study is done with TRON game using an alternate Voronoi heuristics, employing supervised learning. The algorithm has been tested for different game scenarios and the proposed game bot was tested for accuracy of moves, winning percentage and response time. © 2019 IEEE.",Approximation algorithm; Automation; Learning techniques; Machine learning; TRON game; Voronoi heuristics,Gamification; Software design; Supervised learning; Approximation techniques; Creative-learning; Effective learning; Game development; Game scenario; Game-Based; Learning experiences; Learning technology; Approximation algorithms,Institute of Electrical and Electronics Engineers Inc.,English,Conference paper,Final,,Scopus,,,,,,,,,,,
Xu R.; Lieberherr K.,"Xu, Ruiyang (57212557409); Lieberherr, Karl (7004179291)",57212557409; 7004179291,Learning self-game-play agents for combinatorial optimization problems,2019,"Proceedings of the International Joint Conference on Autonomous Agents and Multiagent Systems, AAMAS",4,,,2276,2278,2,2,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077069459&partnerID=40&md5=052c5e4ff0c1a2a5d3ffbf485e7bb20a,"Recent progress in reinforcement learning (RL) using self-gameplay has shown remarkable performance on several board games as well as video games (e.g., Atari games and Dota2). DeepMind researchers have already implemented model-free RL to play Go and Chess at a superhuman level using neural Monte-Carlo-Tree-Search (neural MCTS). Therefore, it is plausible to consider that RL, starting from zero knowledge, can be applied to other problems which can be converted into games. We try to leverage the computational power of neural MCTS to solve a class of combinatorial optimization problems. Following the idea of Hintikka's Game-Theoretical Semantics, we propose the Zermelo Gamification (ZG) to transform specific combinatorial optimization problems into Zermelo games whose winning strategies correspond to the solutions of the original optimization problem. The ZG also provides a specially designed neural MCTS. We use a combinatorial planning problem for which the ground-truth policy is efficiently computable to demonstrate that ZG is promising. © 2019 International Foundation for Autonomous Agents and Multiagent Systems (IFAAMAS). All rights reserved.",Combinatorial optimization; Model-free; Neural MCTS; Reinforcement learning; Self-game-play,Combinatorial optimization; Game theory; Human computer interaction; Interactive computer graphics; Machine learning; Multi agent systems; Optimization; Reinforcement learning; Semantics; Combinatorial optimization problems; Computational power; Game plays; Model free; Monte-Carlo tree searches; Neural MCTS; Optimization problems; Winning strategy; Autonomous agents,International Foundation for Autonomous Agents and Multiagent Systems (IFAAMAS),English,Conference paper,Final,,Scopus,YES,,"penerapan algoritma ML pada permasalah optimisasi kombinasi, bukan pada penerapan gamifikasi",,,,,,,,
Mezrar S.; Bendella F.,"Mezrar, Samiha (57731404000); Bendella, Fatima (56006283700)",57731404000; 56006283700,Machine learning and Serious Game for the Early Diagnosis of Alzheimer’s Disease,2022,Simulation and Gaming,53,4,,369,387,18,0,10.1177/10468781221106850,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131543742&doi=10.1177%2f10468781221106850&partnerID=40&md5=3fa12658f397a938c7e877a8d54aa147,"Background and Aim: Aging people can suffer from cognitive impairments with a range of symptoms, including memory, perception, and difficulty in solving problems called Alzheimer’s disease (AD). The early detection of Mild Cognitive Impairment (MCI), which can develop AD, plays a major role in the management of patients to slow the decline in cognitive function, as treatments are effective at an early stage of the disease course. For this purpose, advanced computer technologies can provide a tool for the early detection of AD and prediction of disease progression. This article presents a serious game, including 16 mini-games that aimed at detecting AD or MCI in the mild stage. Based on gamification techniques and machine learning (ML), by overcoming the limitations of traditional tests. This gamified cognitive tool, entitled AlzCoGame, evaluates the main cognitive domains considered to be the most pertinent indicators in diagnosing cognitive impairments: working memory, episodic memory, executive functions, Visio-spatial orientation, concentration, and attention. Results and Conclusion: Six predictive ML models have been implemented using the AlzCoGame dataset. We used the K-fold cross-validation and classification metrics to validate the model's performance. Based on the results of the pilot study, the best overall performance was obtained by the RF classifier with average Sensitivity = 0.89, Specificity = 0.93, Accuracy = 0.92, F1-Score = 0.91, and ROC = 0.91. We can deduce that including machine learning techniques and serious games could help improve certain aspects of the clinical diagnosis of cognitive impairment. Moreover, clinical trials are required to prove the impact of this gamified program on cognitive skills and evaluate usability measures. © The Author(s) 2022.",Alzheimer’s; classification; cognitive stimulation; early diagnosis; gamification; machine learning; serious game,,SAGE Publications Inc.,English,Article,Final,,Scopus,,,,,,,,,,,
Salvo R.D.; Fazio M.; Celesti A.; Santoro D.; Villari M.,"Salvo, Rosa Di (57222511713); Fazio, Maria (7103169882); Celesti, Antonio (36166437800); Santoro, Domenico (57979482700); Villari, Massimo (12645423500)",57222511713; 7103169882; 36166437800; 57979482700; 12645423500,Mathematical Model and AI Oriented Analysis for Self-Regulated Learning in Remote Health Treatments,2020,"2020 IEEE Globecom Workshops, GC Wkshps 2020 - Proceedings",,,367487,,,,1,10.1109/GCWkshps50303.2020.9367487,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102930863&doi=10.1109%2fGCWkshps50303.2020.9367487&partnerID=40&md5=6ca5825e6df4bd9dfa9645853e320e8c,"The paper aims to develop a new technological solution to support Self-Regulated Learning (SRL) of patients, thus to optimize benefits of the action plan for remote health treatments. We investigate an innovative Mathematical Model (MM) in the area of SRL to exhaustively describe the main aspects concerning the nature of human thought and cognition. Internet of Mobile Things (IoMT) adopted in remote Healthcare Systems (RHS) can improve self-learning capabilities of patients. However, the impact of technologies in remote therapies depends on several factors, such as technical skill levels of patients and the type of target to reach. The proposed MM is the basis for a post-processing performed with Machine Learning tools useful to identify cross-relations among key factors in SRL, such as digital skills, personal motivations of patients and therapy targets, and to investigate the impact of technological tools in RHS where technologies are used to training SRL. © 2020 IEEE.",Gamification; IoT Cloud; Mathematical Modeling; Mobile Learning; Self-Regulation Learning,Engineering education; Patient treatment; Digital skills; Post processing; Remote healthcare systems; Self-learning capability; Self-regulated learning; Technical skills; Technological solution; Technological tools; Learning systems,Institute of Electrical and Electronics Engineers Inc.,English,Conference paper,Final,,Scopus,,,,,,,,,,,
Voris J.,"Voris, Jonathan (24825780200)",24825780200,Measuring How We Play: Authenticating Users with Touchscreen Gameplay,2018,"EAI International Conference on Mobile Computing, Applications and Services (MobiCASE)",,,,144,164,20,0,10.1007/978-3-319-90740-6_9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161935340&doi=10.1007%2f978-3-319-90740-6_9&partnerID=40&md5=9b06ee333c26f69574da3e7d215a195d,"Mobile devices are being used to access and store an ever-increasing amount of sensitive data. Due to their compact form factor, mobile devices can be easily lost or stolen. Yet users frequently choose not to enable authentication or select authentication methods which are insufficient to protect their devices, placing user information at risk. In this paper, we propose the use of a behavioral biometric based approach to authentication that functions by modeling the manner in which users interact wit mobile games, which are one of the most popular uses of mobile devices. We conducted an IRB approved study in which 30 participants were asked to play three popular Android games as well as utilize a mobile touchscreen without any gameplay prompting. We extracted features from users’ touchscreen activity during these interactions, then applied a Support Vector Machine to classify users based on patterns which emerged from their usage during the game. Our results indicate that using gameplay as a behavioral biometric is an effective means of authenticating users to their mobile devices, but care must be taken to select a game which encourages users to make frequent distinctive gestures. © ICST Institute for Computer Sciences, Social Informatics and Telecommunications Engineering 2018.",Active authentication; Behavioral biometrics Games for security; Gamification; Machine learning Mobile authentication; SVM; Useful games,Biometrics; Mobile security; Sensitive data; Support vector machines; Active authentication; Behavioral biometric game for security; Behavioural Biometric; Gameplay; Gamification; Machine learning mobile authentication; Machine-learning; Mobile authentication; SVM; Useful game; Authentication,ICST,English,Conference paper,Final,,Scopus,YES,Classification,klasifikasi tingkah laku atau aktifitas pengguna mobile device pada beberapa android games untuk autentikasi pengguna mobile device ,,,,,,,,
